#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
Dataset: Demographic and socio-economic,,,,,,,,
Indicator,,"GNI per capita, PPP (current international $)",,,,,,
Time,,2014,2015,2016,2017,2018,2019,2020
Thailand,,14680,15010,15840,16640,17630,18510,..
Timor-Leste,,6270,5100,4230,4470,4490,4960,..
Togo,,1340,1440,1470,1520,1600,1690,..
Tokelau,,..,..,..,..,..,..,..
Tonga,,5680,5830,6230,6720,6960,6980,..
Trinidad and Tobago,,27850,27040,25910,26650,26270,27950,..
Tunisia,,10070,9890,10060,10270,10640,10720,..
Turkey,,23880,25460,26230,27550,27510,26860,..
Turkmenistan,,12280,12890,13500,13620,14560,..,..
Turks and Caicos Islands,,22070,24140,26420,26620,28010,..,..
Tuvalu,,4420,5670,5640,5570,6080,6160,..
Uganda,,2040,2090,2050,2030,2110,2220,..
Ukraine,,10620,10040,11040,12140,12960,13750,13260
United Arab Emirates,,73740,65220,64340,67670,68810,70300,..
United Kingdom of Great Britain and Northern Ireland,,40450,41590,43080,45180,46530,47620,..
United Republic of Tanzania,,2210,2300,2420,2470,2620,2810,2760
United States of America,,56720,58320,58950,60990,63750,66060,..
United States Virgin Islands,,..,..,..,..,..,..,..
Uruguay,,18820,19310,19650,20060,20280,20670,..
Uzbekistan,,6250,6450,6530,6650,7120,7450,..
Vanuatu,,3050,2950,3000,3040,3190,3280,..
Venezuela (Bolivarian Republic of),,..,..,..,..,..,..,..
Viet Nam,,5470,5790,6300,6650,7290,7890,..
Wallis and Futuna Islands,,..,..,..,..,..,..,..
Western Sahara,,..,..,..,..,..,..,..
Yemen,,..,..,..,..,..,..,..
Zambia,,3470,3360,3300,3330,3550,3560,..
Zimbabwe,,2360,2410,2560,2760,1950,380,..
Data extracted on 22 Nov 2021 21:12 UTC (GMT) from UIS.Stat,,,,,,,,
